"","Estimate","Std..Error","z.value","Pr...z..","estMF","Effect"
"(Intercept)",-4.36284065560903,0.0257802127587412,-169.232143133875,0,"0.0127421401586783","0"
"t",0.0701370160358828,0.0299516419463939,2.34167516296472,0.0191974152905474,"0.0136679221630931","0.0726551421414329"
"c",-0.451294540585598,0.0310073250320759,-14.5544493154037,5.4724842225071e-48,"0.00811423626691819","-0.363196749849604"
"g",-0.608236311196911,0.034932011948254,-17.4120034110235,6.69012213832779e-68,"0.00693567451987004","-0.455689983511414"
"CpG",-0.121315610519357,0.0207003589750516,-5.86055588048344,4.61320260989533e-09,"0.0112864062277713","-0.114245637921"
"Nonsyn",-0.690634434930833,0.0331155245412608,-20.8553071255244,1.36419620018079e-96,"0.00638709908781046","-0.498742047389864"
"bigAAChange",-0.057413210821478,0.0214467406919807,-2.67701333484886,0.00742816785107323,"0.012031177584889","-0.0557961664944499"
"Core",-0.124355842886431,0.0295872730027151,-4.2030180637134,2.63379561611382e-05,"0.011252145037629","-0.116934447627662"
"HVR1",0.229162022017589,0.081680417882369,2.80559316368353,0.00502240602317653,"0.0160238244905247","0.257545772608018"
"E2",0.0692499786498862,0.0216603187572209,3.1970895454528,0.00138821824190359,"0.0136558035807579","0.0717040788048013"
"NS1",0.0890896399353216,0.0462887391636987,1.92465039110828,0.0542731106981394,"0.0139294355053858","0.0931786443974207"
"NS2",0.044317901873592,0.0263239498851782,1.68355820714221,0.0922670813478096,"0.0133195452647533","0.0453146095463246"
"NS5B",-0.0953281255270475,0.0233635137507486,-4.0802135562333,4.4994344323466e-05,"0.011583555903469","-0.0909254050560903"
"t:Nonsyn",-0.155339860464421,0.0398978000712663,-3.89344425474462,9.88309212630844e-05,"0.0109088541072066","-0.143875834721771"
"c:Nonsyn",-0.138813149381494,0.0413234503095342,-3.35918584585052,0.00078172476478316,"0.0110906396079031","-0.129609353704241"
"g:Nonsyn",0.0403336572076973,0.0432612712846153,0.932327137183343,0.351167487389615,"0.0132665825159166","0.0411581061507302"
